,cc_b3m1
816,-0.8775562967204831
817,-0.6160743977742822
818,-0.7598191901588169
819,-0.9565281670770229
820,-0.33229412487800225
821,-0.6171610900953866
822,-0.6307918441385745
823,-0.46039094255493573
824,-0.7580495700341299
825,-0.7173703000862268
826,-0.5612596886575503
827,-0.5691358213609643
828,-0.8624559989797689
829,-0.9732065713175846
830,-1.0312082978771162
831,-0.8763205367994296
832,-0.8543717011114413
833,-0.8040135044109942
834,-0.699846713329924
835,-0.5348438800310706
836,-0.5217163501039739
837,-0.5369778711735176
838,-0.6635092842104786
839,-0.688266599747676
840,-0.48197093727120155
841,-0.9418224044992698
842,-0.84167631099149
843,-0.5649553253265989
844,-0.7874969125014744
845,-0.2558927503576758
846,-0.711938672758297
847,-0.8750558645187763
848,-0.525681172981642
849,-1.1155974679098009
850,-0.7290546941881146
851,-0.7368920307827445
852,-0.6032516862474733
853,-0.7575224187284686
854,-0.41203587532969443
855,-0.8251012321866469
856,-0.46208257893963633
857,-0.5223960597789237
858,-0.5530736394554818
859,-0.5967389146165427
860,-0.7947953997844692
861,-0.497435388898289
862,-0.6713902449155391
863,-0.6536916917038091
864,-0.6915951553880682
865,-0.7220249503412521
866,-0.5027647057854701
867,-0.16357404032306277
868,-0.7952570143097795
869,-0.44480569053553687
870,-0.3363769238682828
871,-0.3365514258026394
872,-0.3015678608481984
873,-0.7351158901586246
874,-0.7648909298629487
875,-0.7026753179257632
876,-0.545928774106816
877,-0.4361955006496032
878,-0.6721955860572617
879,-0.3424663021990568
880,-0.16549734083632117
881,-0.22654780244512907
882,-0.5237270751170264
883,-0.3332453677774314
884,-0.7524490429146571
885,-0.7306407007385527
886,-0.3708645345660315
887,-0.29136587206378906
888,-0.5753468854287682
889,-0.4090518944059802
890,-0.8809327931542512
891,-0.5617171843825677
892,-0.389758974274649
893,-0.4029113612705242
894,-0.2286890475425576
895,-0.7803022463464586
896,-0.8739949860851866
897,-0.22775093327087603
898,-0.5626079723859974
899,-0.28294329481759917
900,-0.058412068082478896
901,-0.5650906608332225
902,-0.11318048048009999
903,-0.04584539035498558
904,-0.27736702491649723
905,-0.2434669985129716
906,-0.38008147996959174
907,-0.6650654762248891
908,-0.08360829989338647
909,-0.35729041267745476
910,-0.6013560795364405
911,-0.34422329810813146
912,-0.6134156606465311
913,-0.3424492397340462
914,-0.40900791684317994
915,-0.4491788174136664
916,-0.26079133027859847
917,-0.11865816108424188
918,-0.21493348569540593
919,0.19352004762869157
920,0.14399763507450825
921,-0.2565450423869473
922,-0.4398792390524786
923,-0.26258431569972096
924,-0.2554730385445474
925,-0.5257823714216769
926,-0.05432947708175995
927,-0.7130542341905795
928,-0.6247910454406416
929,-0.23519167968324872
930,-0.5691766438705876
931,-0.48148161307916837
932,-0.4545753064435445
933,-0.38840147013044657
934,-0.4019830221553349
935,-0.6108900767616614
936,-0.5001051576964741
937,-0.44321608931107903
938,-0.610125508622037
939,-0.37431934696533986
940,-0.6525755379980005
941,-0.5888286851225644
942,-0.8044896028892161
943,-0.4783628619271667
944,-0.5740010725183389
945,-0.8020597739202238
946,-0.6126748661016777
947,-0.6609911613770958
948,-0.375206612206858
949,-0.3239167631930737
950,-0.7591363893751151
951,-0.5695315092449924
952,-0.725805247679725
953,-0.45910977339479686
954,-0.9183168629162726
955,-0.92181864049215
956,-0.652945906229963
957,-0.8580799643541184
958,-0.7714849460043887
959,-0.5100034607335218
960,-0.29943591656005886
961,-0.5271905840681441
962,-0.5198209229311566
963,-0.7111103729026915
964,-0.5759564846161993
965,-0.9620299037644546
966,-0.6674790777835771
967,-0.40328797210682765
968,-0.6729063155711223
969,-0.379293019056945
970,-0.11452234248308457
971,-0.35491019581979444
972,-0.2901760711698742
973,-0.6051553782118404
974,-0.41098344693175726
975,-0.1546430386837283
976,-0.8052950502901517
977,-0.6194724779349752
978,-0.523573771218933
979,-0.6239662640071959
980,-0.7959558217723686
981,-1.1003299407015472
982,-0.7515035241026684
983,-0.815913130531472
984,-0.6014943759125888
985,-0.562020248407471
986,-0.9428393278883007
987,-0.37013442744579095
988,-0.7356685585900262
989,-0.8362723192117407
990,-0.9508925013324259
991,-0.8565475871452826
992,-0.6885380813806563
993,-0.7405443947975137
994,-0.7950371762985071
995,-0.6159758863146401
996,-0.34863164686722925
997,-0.5458814178187019
998,-0.5158292759468264
999,-0.29467657554386406
1000,-0.145367371336647
1001,-0.9547775504284219
1002,-0.9729922759156917
1003,-0.6032119769649373
1004,-0.04116303146984901
1005,-0.1102276961758406
1006,0.19061911210325988
1007,-0.1306491554304401
1008,0.043310665235869905
1009,-0.09257527440750835
1010,-0.07554104759322477
1011,0.1672863536721536
1012,0.2161155859221653
1013,0.4550693184251191
1014,-0.3839865809728771
1015,-0.1893992160748148
1016,-0.15678732861454758
1017,-0.06348064216258109
1018,0.061872354405367425
1019,0.07153735315299059
1020,-0.29351267307116125
1021,-0.06498972917104773
1022,-0.22571565422196826
1023,0.0032323197899195577
1024,0.09718397497731424
1025,-0.26887289964275496
1026,0.04968243692938401
1027,-0.06297497603367219
1028,0.13832887510791636
1029,-0.2657361274205883
1030,-0.3176545105996915
1031,-0.3720711377346486
1032,-0.3653917003591527
1033,-0.14125282791524896
1034,-0.3655275800183979
1035,-0.24504008715755532
1036,0.25918918898331
1037,-0.2019663517101229
1038,0.15512928101598433
1039,-0.22255300094489705
1040,-0.04887129088179698
1041,-0.12997178117387342
1042,-0.1605384811842221
1043,0.25070520832204224
1044,-0.0260572774322263
1045,0.26257557558597355
1046,-0.09036228095802912
1047,0.02479924292996749
1048,-0.059236022377044506
1049,0.2013877387032874
1050,-0.20775811292107527
1051,0.06971456577091395
1052,-0.23516462532807125
1053,-0.017326242718995744
1054,-0.2477814407511758
1055,-0.023424064106851716
1056,0.2090815085814839
1057,0.06399030041964693
1058,-0.2268371067805255
1059,-0.04951905087058783
1060,0.05681383935820428
1061,-0.09839816956421821
1062,-0.20704055111145792
1063,-0.061942364079504486
1064,-0.11936761683177899
1065,0.1895183382885257
1066,-0.24670261685646722
1067,0.33835892304680293
1068,-0.06259646801405339
1069,-0.2814210258590819
1070,0.06500671010474512
1071,0.03670556621398369
1072,0.5462153646949144
1073,-0.02229132827292979
1074,0.027188017739485204
1075,-0.2025090821706801
1076,0.2804010817507123
1077,-0.0015487201341706225
1078,-0.02236070045713312
1079,0.20973680041129228
1080,-0.15005245819737212
1081,0.052291116559551654
1082,-0.4918141686272488
1083,0.25256142470498766
1084,-0.022847605980244268
1085,0.08042138129861875
1086,-0.34601995282733355
1087,0.08630163188055562
1088,-0.3561360450563722
1089,-0.03061498799307305
1090,0.15588592297893822
1091,0.30010131797810224
1092,-0.18125620506665374
1093,0.0032966800616618386
1094,-0.13363036144667984
1095,0.19329304446486173
1096,-0.26869155697574953
1097,-0.1130952810450232
1098,0.031150324029081133
1099,0.013924444885513587
1100,-0.10571712527792076
1101,-0.1811540049507112
1102,-0.3639751320657556
1103,0.07988196098605904
1104,0.18483267984124918
1105,0.11692310060661981
1106,0.07992953891607169
1107,0.16173125418381318
1108,0.30745631625165704
1109,-0.12598120924367429
1110,0.08050026922362274
1111,0.015332019581950185
1112,-0.035346000718469384
1113,0.08808487715557689
1114,0.3445506621254184
1115,0.1261475769048941
1116,-0.25127131854968354
1117,0.01039061552398124
1118,0.004420680421119982
1119,0.330670565287531
1120,0.06714745915409193
1121,0.35220111287281863
1122,0.35459856267380196
1123,0.017238024198715785
1124,0.04916210361502937
1125,0.04939395785438805
1126,0.18505137596556676
1127,-0.007860014003840732
1128,-0.3400522980126137
1129,-0.3228376776509636
1130,0.12906103986242012
1131,0.048079871020551224
1132,-0.19549127665049593
1133,0.2581328221742307
1134,0.1622739719370907
1135,-0.34821656204554063
1136,-0.21906764005462875
1137,-0.12686443216810606
1138,-0.17461080206616586
1139,-0.058345951892241565
1140,-0.34729762614149795
1141,-0.010585493400367518
1142,-0.23297446890346585
1143,0.013156871235608492
1144,0.15668652887745171
1145,-0.3154677229737288
1146,0.034362226942931784
1147,-0.08184721147060614
1148,-0.34934370026294026
1149,0.12726784504550004
1150,-0.030122398998564393
1151,-0.1900029159125527
1152,0.020434891657857612
1153,-0.39195886972527916
1154,-0.12827439032655974
1155,-0.03772759163909267
1156,-0.11122949658532555
1157,-0.12853987902218567
1158,0.03228042468647985
1159,0.0256525862895014
1160,-0.33582523914481044
1161,-0.13096514441965645
1162,0.11474922969314783
1163,0.11729303413864578
1164,-0.04832061613052829
1165,-0.054180030074583385
